job_title,job_description
Registered Nurse (Primary Clinic),"The Primary Care Team Nurse provides direct and indirect nursing care to patients and families in the outpatient setting. Accountable for adhering to established policies, standards of care and standards of practice. The Primary Care Team Nurse demonstrates leadership in delivering and improving holistic care through collaborative strategies with others."
Clinical Nurse,"This position is located at the Wanblee Service Unit. This positions is the provision of nursing services in an ambulatory setting, in accordance with sounds professional and nursing principals, and the adaptation of these services so that basic and special needs of the patient are met."
Clinical Nurse,"This position is located at the Wanblee Service Unit. This positions is the provision of nursing services in an ambulatory setting, in accordance with sounds professional and nursing principals, and the adaptation of these services so that basic and special needs of the patient are met."
Physician (Hospitalist),The Veterans Health Care System of the Ozarks is seeking a full-time Board Certified or Board Eligible Internal Medicine Hospitalist to join our group of dedicated professionals. Successful candidates should have expertise in hospital medicine and an avid interest in teaching residents and medical students.
Physician (Hospitalist),The Veterans Health Care System of the Ozarks is seeking a full-time Board Certified or Board Eligible Internal Medicine Hospitalist to join our group of dedicated professionals. Successful candidates should have expertise in hospital medicine and an avid interest in teaching residents and medical students.
AIRCRAFT ORDNANCE SYSTEMS MECHANIC (TITLE 32),"This National Guard position is for an AIRCRAFT ORDNANCE SYSTEMS MECHANIC (TITLE 32), Position Description Number D1737P01 (WG-10) / D1736P01 (WG-11) and is part of the Oregon National Guard 173rd Fighter Wing, National Guard. This position is a Title 32 Excepted Service - Military position. Oregon Air National Guard military service is a condition of employment."
HELICOPTER FLIGHT INSTRUCTOR,"About the Position: As a Helicopter Flight Instructor, you will operate the following multi-engine rotary wing aircraft and its compatible flight simulator (AH-64D), conduct advanced flight instruction to rated aviators using an approved progam of instruction (POI), in all aspects of multi-engine rotary wing aircraft."
Physician (Psychiatrist- Section Chief),"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH and Charleston, WV. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment/Relocation MAY be authorized.
PCS MAY be authorized."
Physician-Psychiatrist,"You could be part of an important initiative to provide mental health care for our Veterans! The VA needs mental health professionals who possess the energy, compassion, and commitment to serve those who serve.. Whatever the job title, every position in VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans. America's Veterans need you! RECRUITMENT/RELOCATION MAY BE AUTHORIZED
PCS INCENTIVE MAY BE AUTHORIZED."
Contracting - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Quality Assurance - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Supply Program Management - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Realty - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Housing Management - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Interdisciplinary Project Manager,"About the Position: Serves as a project manager with responsibilities involving managing the efficient and effective coordination and accomplishment of the planning, scoping, design, acquisition, construction, and direction of assigned projects associated with a Military Program segment."
General Physical Scientist - Dircet Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Physics - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Chemist - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
